"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"128" 128 "Persona 5" "PlayStation4" 17 66 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"129" 129 "Persona 4 Golden" "PlayStationVita" 17 67 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" 130 "SSX 3" "PlayStation2" 17 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"131" 131 "Tom Clancy's Splinter Cell" "Xbox" 17 61 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"132" 132 "Grand Theft Auto III" "PC" 17 58 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"133" 133 "Quake III Arena" "Dreamcast" 17 56 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"134" 134 "Homeworld" "PC" 17 64 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"135" 135 "Okami" "PlayStation2" 17 66 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"136" 136 "The Elder Scrolls IV: Oblivion" "PlayStation3" 17 55 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"137" 137 "Fallout 3" "Xbox360" 17 60 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"138" 138 "Gears of War 2" "Xbox360" 17 52 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"139" 139 "SoulCalibur II" "GameCube" 17 63 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"140" 140 "World Soccer Winning Eleven 6 International" "PlayStation2" 17 59 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"141" 141 "NFL 2K3" "PlayStation2" 17 49 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"142" 142 "Mass Effect 3" "Xbox360" 17 34 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"143" 143 "Metal Gear Solid V: The Phantom Pain" "PlayStation4" 17 57 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"144" 144 "Skies of Arcadia" "Dreamcast" 17 64 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"145" 145 "The Legend of Zelda: Skyward Sword" "Wii" 17 56 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"146" 146 "Mario Kart Super Circuit" "GameBoyAdvance" 17 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"147" 147 "Rock Band 3" "Xbox360" 17 58 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"148" 148 "Viewtiful Joe" "GameCube" 17 58 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"149" 149 "Test Drive Le Mans" "Dreamcast" 17 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"150" 150 "NBA 2K1" "Dreamcast" 17 45 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"151" 151 "Castlevania: Symphony of the Night" "PlayStation" 17 67 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"152" 152 "Star Wars: Knights of the Old Republic" "PC" 17 65 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"153" 153 "Virtua Fighter 4: Evolution" "PlayStation2" 17 64 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"154" 154 "Uncharted 4: A Thief's End" "PlayStation4" 17 58 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"155" 155 "Braid" "PlayStation3" 17 53 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"156" 156 "Mass Effect 3" "PlayStation3" 17 31 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"157" 157 "Paper Mario" "Nintendo64" 17 66 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"158" 158 "Wipeout XL" "PlayStation" 17 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"159" 159 "Grand Theft Auto: San Andreas" "Xbox" 17 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"160" 160 "INSIDE" "XboxOne" 17 57 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
